name,type,location_level,amenities_notes,known_address,source
Institute of Mental Health,Nursing Pod,Child Guidance Clinic Block 3 B1; Private Clinic Block 1 Level 2,Lockable cubicles; power points,10 Buangkok View Singapore 539747,BMSG
Ng Teng Fong Hospital,Nursing Rooms,Tower B Level 2 (near Fork & Spoon); Tower C Level 1M (staff only),Wash basin; power points; multiple cubicles,1 Jurong East Street 21 Singapore 609606,BMSG
Serangoon Polyclinic,Nursing Room,Level 6,Lockable; wash basin; power points,587 Upper Serangoon Rd Singapore 534564,BMSG
Holy Cross Church,Nursing Pod,,Private room for one parent and baby,450 Clementi Avenue 1 Singapore 129955,BMSG
Pusara Aman Mosque,Nursing Pod,,Diaper changing station; private room,11 Lim Chu Kang Road Singapore 719452,BMSG
313@Somerset,Nursing Room,"Levels B3, 1 and 5",Armchairs; microwave at B3/L5; power points at L1,313 Orchard Rd Singapore 238895,SassyMama
Anchorpoint Shopping Centre,Nursing Room,Basement 1 and Level 1 by restrooms,Two rooms with curtains; power points,370 Alexandra Road Singapore 159953,SassyMama
Ang Mo Kio Hub,Nursing Room,Level 3 near restrooms,Lockable; benches; sinks; hot water dispenser,53 Ang Mo Kio Ave 3 Singapore 569933,SassyMama
Aperia Kallang Mall,Nursing Room,Level 1 next to restrooms,"Two rooms, curtain-separated, no locks",12 Kallang Ave Singapore 339511,SassyMama
Bedok Mall,Nursing Room,Level B1 near restrooms,Two lockable rooms; no stroller space,311 New Upper Changi Rd Singapore 467360,SassyMama
Bugis Junction,Nursing Room,Level 3,Two cubicles with curtains; playground,200 Victoria St Singapore 188021,SassyMama
Bukit Panjang Plaza,Nursing Room,Level 1; Levels 2-3; Level 4,L1 cubicle only; L2-4 lockable,1 Jelebu Rd Singapore 677743,SassyMama
Bukit Timah Plaza,Nursing Room,Level B1,Entire room lockable; changing table; sink,1 Jalan Anak Bukit Singapore 588996,SassyMama
Causeway Point,Nursing Room,Levels 1 to 5 and Level 7 near restrooms,Sofas; curtains; sinks; power points,1 Woodlands Square Singapore 738099,SassyMama
Central @ Clarke Quay,Nursing Room,Level 1 near female restrooms,Lockable room; changing station; sink,6 Eu Tong Sen St Singapore 059817,SassyMama
Centrepoint,Nursing Room,Level 6,Lockable; armchairs; playpen and cot,176 Orchard Rd Singapore 238843,SassyMama
Changi Airport,Nursing Room,All 4 terminals - see Changi Airport facilities directory,30 baby care facilities; Peranakan-themed room in T4,60 Airport Blvd Singapore 819643,SassyMama
Changi City Point,Nursing Room,Level B1 to Level 2,"Armchairs; bag hooks; no locks, curtains only",5 Changi Business Park Central 1 Singapore 486038,SassyMama
Chinatown Point,Nursing Room,Level 3,Small; no locks or separation,133 New Bridge Rd Singapore 059413,SassyMama
City Square Mall,Nursing Room,Levels 2 and 4,Two lockable rooms; fits stroller,180 Kitchener Rd Singapore 208539,SassyMama
Claymore Connect,Nursing Room,Level 3 near restrooms,Lockable; benches; power points,442 Orchard Rd Singapore 238879,SassyMama
Clementi Mall,Nursing Room,"Levels 3, 4 and 5",Lockable; magazine rack; play area on L4,3155 Commonwealth Ave W Singapore 129588,SassyMama
Compass One,Nursing Room,Level B1 and Level 4,Warmly lit; long bench,1 Sengkang Square Singapore 545078,SassyMama
Far East Plaza,Nursing Room,Levels 1 to 5 near restrooms,Lockable; bottle warmer; high chair,14 Scotts Rd Singapore 228213,SassyMama
Forum The Shopping Mall,Nursing Room,Level 1,Two rooms with curtains; wash basin,583 Orchard Rd Singapore 238884,SassyMama
The Fullerton Hotel Singapore,Nursing Room,Level B1 near restrooms,Fold-down changing table; nursing alcove,1 Fullerton Square Singapore 049178,SassyMama
Great World,Nursing Room,"Levels B1, 1 and 2",Lockable; armchair and table,1 Kim Seng Promenade Singapore 237994,SassyMama
Harbourfront Centre,Nursing Room,Levels 2 and 3 Lobby A,Basic; changing tables; private feeding areas,1 Maritime Square Singapore 099253,SassyMama
Hougang Mall,Nursing Room,Levels 2 and 5 near restrooms,No locks; curtain-separated,90 Hougang Ave 10 Singapore 538766,SassyMama
IKEA,Nursing Room,Near the restaurant (all 3 SG stores),Free baby food; microwaves; diaper dispenser,317 Alexandra Road Singapore 159965,SassyMama
ION Orchard,Nursing Room,"Levels B4, B3, B1, 3 and 4",Bottle warmer; diaper vending machine (B3/B4),2 Orchard Turn Singapore 238801,SassyMama
JEM,Nursing Room,"Level B1, 3 and 5; family toilet Levels 2-5",3 lockable rooms; bottle warmer; children's loo,50 Jurong Gateway Rd Singapore 608549,SassyMama
Jewel,Nursing Room,Every level B2 to Level 4,Padded stations; private cubicles; charging outlets,78 Airport Boulevard Singapore 819666,SassyMama
Junction 8,Nursing Room,"Level B1, 1, 2 and 3",Two lockable rooms; bottle warmer; high chair,9 Bishan Pl Singapore 579837,SassyMama
Jurong East Bus Interchange,Nursing Room,Bus interchange,Padded changing table; lockable room,17A Jurong Gateway Road Singapore 608513,SassyMama
Jurong Point,Nursing Room,JP1 L3; JP2 B1; L3 Mongkok Street,Padded stations; sink; hot/cold dispenser,1 Jurong West Central 2 Singapore 648886,SassyMama
KINEX,Nursing Room,Level 2,3 lockable rooms; comfy waiting area,11 Tanjong Katong Road Singapore 437157,SassyMama
Mandarin Gallery,Nursing Room,"Levels 2, 3, 4 near restrooms",Entire room lockable; sofa,333A Orchard Rd Singapore 238897,SassyMama
Marina Square,Nursing Room,Level B1 and Levels 1 to 3,Lockable; sofa; waiting area,6 Raffles Blvd Singapore 039594,SassyMama
Marina Bay Link Mall,Nursing Room,Level B2,Small; no pram space; fold-down table,8A Marina Blvd Singapore 018984,SassyMama
Millennia Walk,Nursing Room,Level B1 next to lift lobby B,Two rooms; toddler high chairs,9 Raffles Blvd Singapore 039596,SassyMama
National Gallery Singapore,Nursing Room,"One room per floor, B1 to Level 5",6 rooms total; not wheelchair accessible,1 St Andrew's Road Singapore 178957,SassyMama
NEX,Nursing Room,"Levels B2, B1, 1, 2, 3, 4 and Sky Garden",Two lockable rooms; Yakult vending machine,23 Serangoon Central Singapore 556083,SassyMama
Ngee Ann City,Nursing Room,Level B1 (inside female restroom); Level B2,Locks/power points only on B2,391A Orchard Rd Singapore 238873,SassyMama
Northpoint City,Nursing Room,B2 to Level 3 (North Wing); B2 to Level 2 (South Wing),Lockable; changing stations; power points,930 Yishun Ave 2 Singapore 769098,SassyMama
One Raffles Place,Nursing Room,Level 4 next to restrooms,Small; no pram space; power points,1 Raffles Pl Singapore 048616,SassyMama
OUE Downtown Gallery,Nursing Room,Level 2,Separate nursing/changing area; tight space,6A Shenton Way Singapore 068815,SassyMama
Palais Renaissance,Nursing Room,Level 2 restroom,One cubicle; entire room lockable,390 Orchard Rd Singapore 238871,SassyMama
Plaza Singapura,Nursing Room,"Levels 2, 3, 4 and 6",One lockable area per room; hot/cold dispenser,68 Orchard Rd Singapore 238839,SassyMama
Resorts World Sentosa,Nursing Room,4 rooms across RWS incl. USS Baby Centre,Microwave; coin diaper dispensers; play space,8 Sentosa Gateway Singapore 098269,SassyMama
River Wonders,Nursing Room,"Near entrance, Giant Panda Forest, Boat Plaza, Amazon Flooded Forest",Lockable; changing tables; power points,80 Mandai Lake Rd Singapore 729826,SassyMama
Scotts Square,Nursing Room,Levels 2 and 3 near restrooms,One lockable room; bench,6 Scotts Rd Singapore 228209,SassyMama
Sentosa Island (Festive Walk / Galleria),Nursing Room,Festive Walk B1/L1; Galleria (3 rooms),Sinks; power points; changing tables,Sentosa Island Singapore,SassyMama
Shaw Centre,Nursing Room,Level 4 inside Isetan children's dept,Two lockable rooms; food warmer on request,1 Scotts Rd Singapore 228208,SassyMama
The Shoppes at Marina Bay Sands,Nursing Room,"Levels B2, B1 and 1",One family per room; cushioned changing tables,8 Bayfront Ave Singapore 018955,SassyMama
Singapore City Gallery,Nursing Room,Level 2 near Gallery room,Stroller parking; lockable; sofas,45 Maxwell Road Singapore 069118,SassyMama
Singapore Zoo,Nursing Room,"Rainforest Kidzworld, Reptile Garden, main entrance",Curtain-separated; hot/cold dispenser,80 Mandai Lake Rd Singapore 729826,SassyMama
SingPost Centre,Nursing Room,Levels B1 and L3,Minimalist; child-friendly toilet,10 Eunos Rd 8 Singapore 408600,SassyMama
Suntec City Shopping Mall,Nursing Room,Levels 1 and 2,Bottle steriliser on L1; smaller room on L2,3 Temasek Boulevard Singapore 038983,SassyMama
Takashimaya (Ngee Ann City wing),Nursing Room,"Children's Department, Level 4",See Takashimaya main entry,391 Orchard Rd Singapore 238872,SassyMama
Tampines Mall,Nursing Room,Level 2 near Lift Lobby A,Two lockable rooms; baby holder,4 Tampines Central 5 Singapore 529510,SassyMama
Tampines 1,Nursing Room,Levels 2 and 5,Two lockable rooms; benches,10 Tampines Central 1 Singapore 529536,SassyMama
Tanglin Mall,Nursing Room,Level 3 (baby care); Level 2 (diaper changing),Fits multiple strollers; dated decor,163 Tanglin Road Singapore 247933,SassyMama
Thomson Plaza,Nursing Room,Level 3,Lockable; bench; waiting area,301 Upper Thomson Rd Singapore 574408,SassyMama
Tiong Bahru Plaza,Nursing Room,"Levels B1, 1 to 3",No locks; bench; waiting area,302 Tiong Bahru Rd Singapore 168732,SassyMama
Valley Point Shopping Centre,Nursing Room,Level 1,"One cubicle, curtain-separated, no locks",491 River Valley Rd Singapore 248371,SassyMama
Velocity @ Novena,Nursing Room,Level 2,Two lockable rooms; sofa,238 Thomson Road Singapore 307683,SassyMama
West Coast Plaza,Nursing Room,Level B1,One lockable room; bench,154 West Coast Rd Singapore 127371,SassyMama
Wheelock Place,Nursing Room,Level 1,Single lockable room; lift access only,501 Orchard Rd Singapore 238880,SassyMama
Wisma Atria,Nursing Room,Level 3,Small area inside female restroom,435 Orchard Rd Singapore 238877,SassyMama
