name,type,location_level,amenities_notes,known_address,source
Harbourfront Centre,Nursing Room,"Levels 2 and 3 (Lobby A) This is a pretty old shopping centre, so it’s no surprise its family rooms aren’t very impressive, but they have all the basics and are often much less busy than the nursing rooms in neighbouring VivoCity! Expect changing tables, private feeding areas, as well as hot and cold drinking water","Harbourfront Centre , 1 Maritime Square, Singapore 0992531 www.harbourfrontcentre.com.sg","Location: Levels 2 and 3 (Lobby A) This is a pretty old shopping centre, so it’s no surprise its family rooms aren’t very impressive, but they have all the basics and are often much less busy than the nursing rooms in neighbouring VivoCity! Expect changing tables, private feeding areas, as well as hot and cold drinking water. Harbourfront Centre , 1 Maritime Square, Singapore 099253",SassyMama
Hougang Mall,Nursing Room,"Levels 2 and 5 (near restrooms) Nursing rooms have armchairs (no locks; separated by curtains), changing stations, sinks, hot and cold water dispenser and power points","Hougang Mall , 90 Hougang Ave 10, Singapore 538766, www.hougangmall.com.sg","Location: Levels 2 and 5 (near restrooms) Nursing rooms have armchairs (no locks; separated by curtains), changing stations, sinks, hot and cold water dispenser and power points. Hougang Mall , 90 Hougang Ave 10, Singapore 538766",SassyMama
IKEA,Nursing Room,"The baby care room is located near the restaurant IKEA’s baby care rooms feature some of its own products with a minimalist but functional design, plus those famous white high chairs to keep bub safely strapped in while you re-pack that diaper bag! Bonus: you can get free jars of baby food upon request and there are microwave ovens for warming up milk at the restaurant, too! Other must-haves include a waiting area, nursing cubicles, changing tables, sinks, water dispensers, bottle warmers, and a disposable diaper dispenser","IKEA , three locations in Singapore including Tampines, Jurong East and Alexandra Road, www.ikea.com/sg/en",,SassyMama
IMM,Nursing Room,"Level 2 (behind Kohong Health Care Centre and near OSIM); Level 3 (near car park entrance) Rejoice if you’ve got a pram with you because there is plenty of space for prams and daddies! In addition to lockable family rooms with nursing and changing areas, the nursing rooms here have baby holders to prop older babies up, power sockets and sinks","IMM , 2 Jurong East Street 21, Singapore 609601, www.capitaland.com/sg/malls/imm/en.html; Diaper changing station; Lockable nursing cubicle(s); Suitable for a single pram; Suitable for a double pram; Wash basin; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby; Multiple nursing cubicles available; Family-friendly access","Location: Level 2 (behind Kohong Health Care Centre and near OSIM); Level 3 (near car park entrance) Rejoice if you’ve got a pram with you because there is plenty of space for prams and daddies! In addition to lockable family rooms with nursing and changing areas, the nursing rooms here have baby holders to prop older babies up, power sockets and sinks. IMM , 2 Jurong East Street 21, Singapore 609601",SassyMama+BMSG
ION Orchard,Nursing Room,,,,SassyMama
JEM,Nursing Room,"Level B1, Level 3 and Level 5 and the family toilet on Levels 2 to 5 Spacious and clean, these are truly family care rooms with child-sized toilets for your older bubs! There are three spacious lockable nursing rooms with armchairs and a small table, as well as three diaper changing stations (the changing table is at the family toilet on Level 2), a sink, hot and cold water dispenser, bottle warmer, children’s loo and power points","The family toilet includes a children’s loo and baby holder. JEM , 50 Jurong Gateway Rd, Singapore 608549, www.jem.sg","Location: Level B1, Level 3 and Level 5 and the family toilet on Levels 2 to 5 Spacious and clean, these are truly family care rooms with child-sized toilets for your older bubs! There are three spacious lockable nursing rooms with armchairs and a small table, as well as three diaper changing stations (the changing table is at the family toilet on Level 2), a sink, hot and cold water dispenser, bottle warmer, children’s loo and power points. The family toilet includes a children’s loo and baby holder. JEM , 50 Jurong Gateway Rd, Singapore 608549",SassyMama
Jewel,Nursing Room,"every level from B2 to Level 4 We just have to rave about the nursing rooms at Jewel because it is one of the most spacious, clean and beautifully designed nursing rooms in Singapore","Image Credit: Jewel There are padded diaper changing stations, hot and cold water dispensers, and private cubicles for nursing your little one in peace. There are even charging outlets for your phone in case you end up being nap-trapped when your little bub falls asleep in your arms! Jewel, 78 Airport Boulevard, Singapore 819666, www.jewelchangiairport.com","Image Credit: Jewel Location: every level from B2 to Level 4 We just have to rave about the nursing rooms at Jewel because it is one of the most spacious, clean and beautifully designed nursing rooms in Singapore. There are padded diaper changing stations, hot and cold water dispensers, and private cubicles for nursing your little one in peace. There are even charging outlets for your phone in case you end up being nap-trapped when your little bub falls asleep in your arms! Jewel, 78 Airport Boulevard, Singapore 819666",SassyMama
Junction 8,Nursing Room,"Level B1, 1, 2 and 3 In addition to complimentary baby stroller rentals, Junction 8 also has two lockable nursing rooms with chairs and a small table, a changing station, a bottle warmer, a high chair and more","Junction 8 , 9 Bishan Pl, Singapore 579837, www.capitaland.com/sg/malls/junction8/en.html","Location: Level B1, 1, 2 and 3 In addition to complimentary baby stroller rentals, Junction 8 also has two lockable nursing rooms with chairs and a small table, a changing station, a bottle warmer, a high chair and more. Junction 8 , 9 Bishan Pl, Singapore 579837",SassyMama
Jurong East Bus Interchange,Nursing Room,"Jurong East Bus Interchange This beautiful, calming nursing room was created by a partnership between Tower Transit Singapore (TTS) and Hegen","Image Credit: Hegen via Facebook There’s a padded changing table, sink, hot and cold water dispenser and a nursing room with a lock (and a comfy nursing chair!). Jurong East Bus Interchange, 17A Jurong Gateway Road, Singapore 608513, www.towertransit.sg","Image Credit: Hegen via Facebook Location: Jurong East Bus Interchange This beautiful, calming nursing room was created by a partnership between Tower Transit Singapore (TTS) and Hegen. There’s a padded changing table, sink, hot and cold water dispenser and a nursing room with a lock (and a comfy nursing chair!). Jurong East Bus Interchange, 17A Jurong Gateway Road, Singapore 608513",SassyMama
Jurong Point,Nursing Room,"JP1, Level 3 (near Kopitiam), JP2 Basement 1 (opposite Samsung) and Level 3 Mongkok Street The Jurong Point nursing rooms are decently sized with padded diaper changing stations, a sink, hot and cold water dispenser and a nursing room (only on Levels 2 and 3)","Jurong Point, 1 Jurong West Central 2, Singapore 648886, www.jurongpoint.com.sg","Location: JP1, Level 3 (near Kopitiam), JP2 Basement 1 (opposite Samsung) and Level 3 Mongkok Street The Jurong Point nursing rooms are decently sized with padded diaper changing stations, a sink, hot and cold water dispenser and a nursing room (only on Levels 2 and 3). Jurong Point, 1 Jurong West Central 2, Singapore 648886",SassyMama
KINEX,Nursing Room,"Level 2 The nursing room at KINEX is clean, bright, and modern with three locked nursing rooms, a comfy waiting area for family, and plenty of room for parking strollers","We deem this the best nursing room in the East; it’s exceptionally clean and tidy, with three handy, private nursing stalls as well as multiple changing rooms and plenty of room for multiple strollers. Amenities include a hot/cold water dispenser, power points, cushioned changing tables, three separate nursing alcoves with comfy chairs and shelves, three lockable nursing cubicles with comfy chairs, sinks and a bench for those waiting. KINEX , 11 Tanjong Katong Road, Singapore 437157, www.kinex.c","Location: Level 2 The nursing room at KINEX is clean, bright, and modern with three locked nursing rooms, a comfy waiting area for family, and plenty of room for parking strollers. We deem this the best nursing room in the East; it’s exceptionally clean and tidy, with three handy, private nursing stalls as well as multiple changing rooms and plenty of room for multiple strollers. Amenities include a hot/cold water dispenser, power points, cushioned changing tables, three separate nursing alcoves with comfy chairs and shelves, three lockable nursing cubicles with comfy chairs, sinks and a bench for those waiting. KINEX , 11 Tanjong Katong Road, Singapore 437157",SassyMama
Mandarin Gallery,Nursing Room,,,,SassyMama
Marina Square,Nursing Room,"Level B1 and Levels 1 to 3 (near restrooms) What will you find here? Think lockable nursing rooms with sofa, a changing station and sink, hot/cold water dispenser, power points and a waiting area","Marina Square , 6 Raffles Blvd, Singapore 039594, www.marinasquare.com.sg","Location: Level B1 and Levels 1 to 3 (near restrooms) What will you find here? Think lockable nursing rooms with sofa, a changing station and sink, hot/cold water dispenser, power points and a waiting area. Marina Square , 6 Raffles Blvd, Singapore 039594",SassyMama
Marina Bay Link Mall,Nursing Room,,,,SassyMama
Millennia Walk,Nursing Room,,,,SassyMama
National Gallery Singapore,Nursing Room,,,,SassyMama
NEX,Nursing Room,,,,SassyMama
Ngee Ann City,Nursing Room,"Level B1 (inside female restroom); Level B2 Ngee Ann City’s nursing rooms are functional but minimal, so head over to the nearby Takashimaya baby care room (see entry no","63) if you’re looking for a premium nursing room experience. The nursing room here has an armchair and a table, a changing table and sink. Locks and power points are only available in the rooms on Level B2. Ngee Ann City , 391A Orchard Rd, Singapore 238873, www.ngeeanncity.com.sg","Location: Level B1 (inside female restroom); Level B2 Ngee Ann City’s nursing rooms are functional but minimal, so head over to the nearby Takashimaya baby care room (see entry no. 63) if you’re looking for a premium nursing room experience. The nursing room here has an armchair and a table, a changing table and sink. Locks and power points are only available in the rooms on Level B2. Ngee Ann City , 391A Orchard Rd, Singapore 238873",SassyMama
Northpoint City,Nursing Room,B2 to Level 3 (North Wing) and B2 to Level 2 (South Wing) The nursing rooms are fitted with a small armchair and table,"You can lock the door for privacy. The rooms also have changing stations, a sink and a hot/cold water dispenser. Power points are available, too. Northpoint City , 930 Yishun Ave 2, Singapore 769098, www.northpointcity.com.sg","Location: B2 to Level 3 (North Wing) and B2 to Level 2 (South Wing) The nursing rooms are fitted with a small armchair and table. You can lock the door for privacy. The rooms also have changing stations, a sink and a hot/cold water dispenser. Power points are available, too. Northpoint City , 930 Yishun Ave 2, Singapore 769098",SassyMama
One Raffles Place,Nursing Room,,,,SassyMama
Orchard Central,Nursing Room,"Levels 3, 4 and 7 Believe it or not, there are NO changing tables available at Orchard Central, but if you simply want to nurse, it’s got you covered! Orchard Central , 181 Orchard Rd, Singapore 238896, www.fareastmalls.com.sg/orchard-central",Diaper changing station; Wash basin; Water dispenser; Private room for one parent and baby,"Location: Levels 3, 4 and 7 Believe it or not, there are NO changing tables available at Orchard Central, but if you simply want to nurse, it’s got you covered! Orchard Central , 181 Orchard Rd, Singapore 238896",SassyMama+BMSG
OUE Downtown Gallery,Nursing Room,,,,SassyMama
Palais Renaissance,Nursing Room,Level 2 restroom The amenities are basic – there’s one nursing cubicle with a changing table,"The entire room can be locked, and you’ll also have access to a sink, child toilet and power points. Palais Renaissance , 390 Orchard Rd, Singapore 238871, www.palais.sg","Location: Level 2 restroom The amenities are basic – there’s one nursing cubicle with a changing table. The entire room can be locked, and you’ll also have access to a sink, child toilet and power points. Palais Renaissance , 390 Orchard Rd, Singapore 238871",SassyMama
Paragon,Nursing Room,,Diaper changing station; Lockable nursing cubicle(s); Suitable for a single pram; Wash basin; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby; Multiple nursing cubicles available; Family-friendly access,,SassyMama+BMSG
Parkway Parade,Nursing Room,Basement (near Japan Home); Level 2 (next to the ladies’ washroom and 6 Elements Hair Spa); Level 3 (next to the ladies’ washroom and Robert Piano),"Wow, someone put some playful thought into Parkway Parade’s nursing rooms, with toys scattered about to distract the bubs! Key amenities here include nursing cubicles with armchairs and small tables, changing stations, a sink, power points and a hot/cold water dispenser. There are also high chairs and toys on certain levels. Parkway Parade , 80 Marine Parade Rd, Singapore 449269, www.parkwayparade.com.sg; Diaper changing station; Lockable nursing cubicle(s); Electrical power points; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby; Family-friendly access","Location: Basement (near Japan Home); Level 2 (next to the ladies’ washroom and 6 Elements Hair Spa); Level 3 (next to the ladies’ washroom and Robert Piano). Wow, someone put some playful thought into Parkway Parade’s nursing rooms, with toys scattered about to distract the bubs! Key amenities here include nursing cubicles with armchairs and small tables, changing stations, a sink, power points and a hot/cold water dispenser. There are also high chairs and toys on certain levels. Parkway Parade , 80 Marine Parade Rd, Singapore 449269",SassyMama+BMSG
Paya Lebar Square,Nursing Room,Level B1 and Level 1 This bare-basics nursing room is lockable and can fit one pram only,"However, there’s only one nursing room on each floor, so odds are, you’ll need to wait to use it. That said, the room is clean enough for a quick feed! Paya Lebar Square , 60 Paya Lebar Rd, Singapore 409051, www.payalebarsquare.sg","Location: Level B1 and Level 1 This bare-basics nursing room is lockable and can fit one pram only. However, there’s only one nursing room on each floor, so odds are, you’ll need to wait to use it. That said, the room is clean enough for a quick feed! Paya Lebar Square , 60 Paya Lebar Rd, Singapore 409051",SassyMama
Plaza Singapura,Nursing Room,"Levels 2, 3, 4 and 6 (next to the ladies’ restroom) These baby nursing rooms are nicely decorated and clean, but there’s only one lockable nursing area per baby room so you might need to wait a while","There is also a changing table inside the nursing room and outside, a sink; power points and a hot and cold water dispenser. Plaza Singapura , 68 Orchard Rd, Singapore 238839, www.capitaland.com/sg/malls/plazasingapura","Location: Levels 2, 3, 4 and 6 (next to the ladies’ restroom) These baby nursing rooms are nicely decorated and clean, but there’s only one lockable nursing area per baby room so you might need to wait a while. There is also a changing table inside the nursing room and outside, a sink; power points and a hot and cold water dispenser. Plaza Singapura , 68 Orchard Rd, Singapore 238839",SassyMama
Raffles City,Nursing Room,Level B1 (next to the restrooms near Marks & Spencer and Crumpler); Level 3 (next to restrooms near PS,"Cafe). The lockable nursing room has an armchair and key amenities include a hot and cold water dispenser, changing station, baby diaper dispenser, sofa and nursing rooms with an electrical point. Raffles City , 252 North Bridge Rd, Singapore 179103, www.capitaland.com/sg/malls/rafflescity/en.html; Diaper changing station; Lockable nursing cubicle(s); Wash basin; Electrical power points; Water dispenser; Multiple nursing cubicles available; Family-friendly access","Location: Level B1 (next to the restrooms near Marks & Spencer and Crumpler); Level 3 (next to restrooms near PS. Cafe). The lockable nursing room has an armchair and key amenities include a hot and cold water dispenser, changing station, baby diaper dispenser, sofa and nursing rooms with an electrical point. Raffles City , 252 North Bridge Rd, Singapore 179103",SassyMama+BMSG
Resorts World Sentosa (RWS),Nursing Room,,", www.rwsentosa.com","Locations: Click here for a full list of nursing rooms at RWS There are four nursing rooms scattered around RWS, and each one is within walking distance of the attractions here. There’s even a special Baby Centre at Universal Studios Singapore, complete with a microwave, coin-operated dispensers for diapers and bed liners and even a cute play space for older tots. The nursing areas include either lockable nursing cubicles or curtained nursing spaces, changing stations ad tables, hot and cold water dispensers and power sockets. Resorts World Sentosa , 8 Sentosa Gateway, Singapore 098269",SassyMama
River Wonders,Nursing Room,,,,SassyMama
Scotts Square,Nursing Room,"Level 2 and 3 (near restrooms) Large and new-ish, these rooms look nice but considering how fancy the mall itself is, they are pretty minimalist in terms of amenities! Key features include one lockable nursing room with a bench, sink, changing area and a waiting area","Scotts Square , 6 Scotts Rd, Singapore 228209, www.instagram.com/scottssquaresg","Location: Level 2 and 3 (near restrooms) Large and new-ish, these rooms look nice but considering how fancy the mall itself is, they are pretty minimalist in terms of amenities! Key features include one lockable nursing room with a bench, sink, changing area and a waiting area. Scotts Square , 6 Scotts Rd, Singapore 228209",SassyMama
Sentosa Island,Nursing Room,,,,SassyMama
Shaw Centre,Nursing Room,"Level 4 (inside Isetan children’s department) The two lockable nursing rooms have basic amenities like chairs and small tables, changing stations, hot water dispensers and power points","Want to warm your baby’s food up before feeding them? Check in with the cashier just outside the nursing room to see if the food warmer is available. There are also high chairs available. Shaw Centre , 1 Scotts Rd, Singapore 228208, www.shawcentre.sg","Location: Level 4 (inside Isetan children’s department) The two lockable nursing rooms have basic amenities like chairs and small tables, changing stations, hot water dispensers and power points. Want to warm your baby’s food up before feeding them? Check in with the cashier just outside the nursing room to see if the food warmer is available. There are also high chairs available. Shaw Centre , 1 Scotts Rd, Singapore 228208",SassyMama
The Shoppes at MBS,Nursing Room,"Levels B2 (next to Club Monaco and Rasapura Masters); B1 (next to Dior and Fila Kids) and Level 1 (next to Orient Crown or Imperial Treasure Fine Teochew Cuisine) These oh-so colourful rooms (peep that bold, stripey wallpaper!) offer plenty of privacy (limited to one family per room, although we’ve shared the changing tables in a pinch), along with a handy seat where you can strap in a wiggly toddler if need be","The nursing rooms at MBS are spacious enough to fit one stroller at a time, and are nice and quiet. The nursing rooms have chairs and tables, cushioned changing tables, a sink, baby seats and more, and there are two floors per level. The Shoppes at Marina Bay Sands , 8 Bayfront Ave, Singapore 018955, www.marinabaysands.com","Location: Levels B2 (next to Club Monaco and Rasapura Masters); B1 (next to Dior and Fila Kids) and Level 1 (next to Orient Crown or Imperial Treasure Fine Teochew Cuisine) These oh-so colourful rooms (peep that bold, stripey wallpaper!) offer plenty of privacy (limited to one family per room, although we’ve shared the changing tables in a pinch), along with a handy seat where you can strap in a wiggly toddler if need be. The nursing rooms at MBS are spacious enough to fit one stroller at a time, and are nice and quiet. The nursing rooms have chairs and tables, cushioned changing tables, a sink, baby seats and more, and there are two floors per level. The Shoppes at Marina Bay Sands , 8 Bayfront Ave, Singapore 018955",SassyMama
Singapore City Gallery,Nursing Room,,,,SassyMama
Singapore Zoo,Nursing Room,"Rainforest Kidzworld, Reptile Garden and at the main entrance","Diaper-changing facilities are available at Rainforest Kidzworld, main entrance, Wildlife Learning Centre, Ah Meng Restaurant, Reptile Garden and Pavilion by the Lake. Spending the day at the Singapore Zoo ? Take a break from the heat and pop into these air-conditioned baby rooms to feed and change your own little monkeys! Key perks include nursing cubicles separated by curtains, changing stations, sinks, a hot and cold water dispenser, power points and a waiting area. Singapore Zoo , 80 Mandai ","Location: Rainforest Kidzworld, Reptile Garden and at the main entrance. Diaper-changing facilities are available at Rainforest Kidzworld, main entrance, Wildlife Learning Centre, Ah Meng Restaurant, Reptile Garden and Pavilion by the Lake. Spending the day at the Singapore Zoo ? Take a break from the heat and pop into these air-conditioned baby rooms to feed and change your own little monkeys! Key perks include nursing cubicles separated by curtains, changing stations, sinks, a hot and cold water dispenser, power points and a waiting area. Singapore Zoo , 80 Mandai Lake Rd, Singapore 729826",SassyMama
